id,indexed_date,language,media_name,media_url,publish_date,title,url,candidate,party,state,gender
49e287a2e32ed6f2cedcf206542c834b7562f4fe7b3d15e9fdfedc36e1cc987b,2024-12-05 08:27:20.256340+00:00,en,kiiitv.com,kiiitv.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.kiiitv.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
aba45bb3291ea1f35524c5ca33f46c3bb4e523f7c27482decb8a5f16e12b6b83,2024-12-05 08:18:49.391876+00:00,en,king5.com,king5.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.king5.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
556c46614ee61d6da5f7a7161cefda39c0f5fe4d7631993031bc224ccb2f9a18,2024-12-05 06:26:48.999771+00:00,en,whas11.com,whas11.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.whas11.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
3ce05a534121a105076aae2d68db3d3119f34f0b87e7ebed4724709a3a09d7ac,2024-12-05 06:22:50.690281+00:00,en,wtsp.com,wtsp.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.wtsp.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
1355ec1c5bee3b51850652006f3226578ae2da670ec0d6b6029614f83069132c,2024-12-05 05:27:13.034589+00:00,en,abc10.com,abc10.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.abc10.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
9c344da0be61d6a83765b0f2d7a947f74189da66d7e4cb1c053782c2c09d67e0,2024-12-05 05:26:55.167766+00:00,en,12news.com,12news.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.12news.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
86eb92a59e138746d56dd8e350edc2cf0cc855ca5f7269a6c7e62c43cfef5f91,2024-12-05 05:26:07.698725+00:00,en,newscentermaine.com,newscentermaine.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.newscentermaine.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
69311c5fb405e17e68a1d78213db11585a28d34ca34f581827b0e50dcf10cddd,2024-12-05 05:25:41.286621+00:00,en,wkyc.com,wkyc.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.wkyc.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
aef20d005fa722f3bfdd1e519fd068aaecc01cf9624d25b8ef58adbb46db21d4,2024-12-05 05:21:30.478322+00:00,en,wcnc.com,wcnc.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.wcnc.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
752f77d7355109c802bffff03b7f9718ed29753a577effac4dd0a21a59eaf8b5,2024-12-05 04:25:59.521662+00:00,en,ksdk.com,ksdk.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.ksdk.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
abaadda881ff569b7c82ff5f41c09a38c5f6c4f128b467c8e9b2ae28767b9268,2024-12-05 04:24:42.245954+00:00,en,firstcoastnews.com,firstcoastnews.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.firstcoastnews.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
a5b25386f5aadd346772e68b5b003e17b50e685d7b73720f8c66e8198e1dad66,2024-12-05 04:20:52.008432+00:00,en,cbs19.tv,cbs19.tv,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.cbs19.tv/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
94870b06597731ad6224e6fbb79940d927ecc4e16fd52524a38f3b6489833b6f,2024-12-05 03:27:26.110616+00:00,en,kagstv.com,kagstv.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.kagstv.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
2ca912f335fcd3fc81417597f7d7d1cab6cfe07931347b1ab8a39db00952b7e8,2024-12-05 03:25:33.653245+00:00,en,kare11.com,kare11.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.kare11.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
0dd778c381014ec681d65dc54389328d1a0e0160416227217a9163a637042ac6,2024-12-05 02:27:10.634596+00:00,en,wgrz.com,wgrz.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.wgrz.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
5c723a8ad43c178d9f0311de22f28fa95a816013d6d3b7bd6e2dc2b47d6790d9,2024-12-05 02:21:03.196051+00:00,en,krem.com,krem.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.krem.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
46706c1f29d75156f33dbfca06c2ca442c2b8cd412a4f531bc059ca8136c7e0a,2024-12-05 02:20:10.915820+00:00,en,kvue.com,kvue.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.kvue.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
e5e5ad3ae07fb597993c377e7c9ad95343c2699e6908489985db9551d0c7ae60,2024-12-05 02:19:04.189797+00:00,en,wltx.com,wltx.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.wltx.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
e51fa2ead1835e1ee256f4e2f1a9e928d0cca1721c217d1fcf43013d01412b4c,2024-12-05 01:28:13.434350+00:00,en,wwltv.com,wwltv.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.wwltv.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
19798b2339d656dfa7a3a929e933774373ecc76302a73131139a37a96f38b1f3,2024-12-05 01:28:07.752557+00:00,en,wusa9.com,wusa9.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.wusa9.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
6003089bbc8a383e8c2ab9b4c1b3d195c6ff9a4ce8b4c3159bfa886c0f6c45c6,2024-12-05 01:19:46.956643+00:00,en,13wmaz.com,13wmaz.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.13wmaz.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
7f76aa03eee1270837764c83a1941a745560c498e988d65f4d29287b189b9af0,2024-12-05 01:18:14.955700+00:00,en,kcentv.com,kcentv.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.kcentv.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
2acdf00fcae5bb3e2edcc216a33fc4c02781150f77e412a02b6da893f7b346b7,2024-12-05 00:28:36.631638+00:00,en,13newsnow.com,13newsnow.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.13newsnow.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
18997ed79fafe562f2fc2c33b40273fad9dc05df61b4789156ce19eb7fea4643,2024-12-05 00:28:24.819614+00:00,en,wzzm13.com,wzzm13.com,2024-04-12,US senators grill airline officials about fees for seats and checked bags,https://www.wzzm13.com/article/news/nation-world/senate-hearing-airline-bag-seat-prices/507-307489fe-c5e6-4c19-b5af-e2c50de26c2e,Josh Hawley,R,MO,M
